customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1.0,Laraine,Medendorp,Female,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0
2.0,Eli,Bockman,Male,81.0,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0
3.0,Arlin,Dearle,Male,61.0,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0
9.0,Mala,Lind,Female,97.0,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0
10.0,Fiorenze,Birdall,Female,49.0,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0
12.0,Sawyere,Flattman,Male,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0
13.0,Gabriele,Norcross,Male,38.0,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0
14.0,Rayshell,Kitteman,Female,85.0,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6.0
15.0,Erroll,Radage,Male,91.0,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1.0
19.0,Sorcha,Keyson,Female,76.0,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0
20.0,Basile,Firth,Male,72.0,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11.0
21.0,Mile,Cammocke,Male,74.0,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0
24.0,Kim,Skpsey,Female,55.0,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0
25.0,Geoff,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0
26.0,Trixi,Ginnelly,Female,12.0,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16.0
27.0,Garvin,Klees,Male,37.0,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12.0
28.0,Fee,Zellmer,Male,5.0,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0
29.0,Mona,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0
31.0,Star,Praton,Female,3.0,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0
32.0,Marion,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0
35.0,Margaretha,Strettle,Female,40.0,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16.0
37.0,Laurie,Dwerryhouse,Female,46.0,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0
38.0,Cordi,Merman,Female,37.0,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0
39.0,Hunfredo,Smalley,Male,5.0,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0
40.0,Tomasine,Jerche,Female,91.0,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0
41.0,Basilius,Coupe,Male,64.0,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16.0
42.0,Chiquita,Durnall,Female,24.0,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18.0
43.0,Indira,Belt,Female,38.0,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5.0
44.0,Neron,Verick,Male,63.0,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0
45.0,Trace,Woodhead,Male,64.0,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0
47.0,Matthew,Jeaycock,Male,51.0,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2.0
50.0,Whitby,Schapero,Male,38.0,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0
51.0,Fidelio,Dilke,Male,68.0,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0
53.0,Agnella,Gocke,Female,22.0,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0
54.0,Loralyn,Wonfor,Femal,2.0,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18.0
55.0,Linc,Jillions,Male,48.0,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0
56.0,Reese,Ensor,Male,44.0,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4.0
58.0,Dalenna,Pinnock,Female,26.0,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0
61.0,Kacey,Rowbottom,Female,47.0,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13.0
63.0,Ebony,Zini,Female,58.0,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0
64.0,Gerek,Yve,Male,73.0,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4.0
65.0,Yale,Tanser,Male,21.0,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0
66.0,Anselm,Gawne,Male,46.0,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1.0
67.0,Vernon,,Male,67.0,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,18.0
70.0,Foster,Vannoort,Male,78.0,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8.0
71.0,Hoyt,Glavias,Male,30.0,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0
72.0,Sammy,Cheese,Male,93.0,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0
75.0,Dollie,Sealy,Female,28.0,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0
76.0,Rea,Hasser,Female,20.0,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0
77.0,Shermie,Andrin,Male,79.0,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0
78.0,Arch,Van der Kruis,Male,37.0,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0
79.0,Tybi,Silliman,Female,76.0,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18.0
80.0,Pablo,Small,Male,11.0,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13.0
82.0,Gleda,Cokely,Female,93.0,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,19.0
83.0,Kerr,Simmell,Male,97.0,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,18.0
86.0,Job,Sleney,Male,75.0,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,7.0
87.0,Fields,Langdon,Male,78.0,1974-04-23,Editor,Financial Services,Mass Customer,N,No,8.0
88.0,Malynda,Tumber,Female,41.0,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7.0
89.0,Benedicto,Hoxey,Male,74.0,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14.0
90.0,Cary,Garron,Male,76.0,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0
91.0,Dylan,Meaker,Male,69.0,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0
92.0,Jodee,Judkins,Female,98.0,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,12.0
93.0,Gordon,Gowar,Male,63.0,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,10.0
94.0,Wallache,Simchenko,Male,33.0,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0
95.0,Nomi,Mallinder,Female,67.0,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0
96.0,Heath,Olford,Male,33.0,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0
97.0,Arne,Corain,Male,16.0,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0
98.0,Allianora,Babalola,Female,19.0,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7.0
99.0,Reggie,Mulliner,Male,97.0,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3.0
100.0,Tripp,Steed,Male,80.0,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4.0
101.0,Goran,Kwietek,Male,83.0,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0
102.0,Langsdon,Tranfield,Male,51.0,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0
103.0,Ethyl,Runham,Female,49.0,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0
104.0,Odille,Panketh,Female,40.0,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9.0
105.0,Maribeth,Pristnor,Female,25.0,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0
106.0,Glyn,,Male,54.0,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0
107.0,Pris,Stallebrass,Female,97.0,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0
112.0,Shena,Parren,Female,88.0,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12.0
114.0,Sunny,Swindells,Female,10.0,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8.0
115.0,Alberik,Mereweather,Male,77.0,1981-12-21,Account Executive,Health,Mass Customer,N,No,18.0
116.0,Scottie,Swiffen,Male,49.0,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0
117.0,Nance,Suttling,Female,75.0,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0
120.0,Sloan,Wagg,Male,80.0,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0
121.0,Myles,Pauncefort,Male,82.0,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0
122.0,Colver,Itter,Male,87.0,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0
123.0,Almeta,Kalinsky,Female,85.0,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,15.0
124.0,Kath,Cunney,Female,27.0,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5.0
125.0,Darrelle,Antoniewski,Female,94.0,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,16.0
126.0,Norman,Cliff,Male,53.0,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,3.0
127.0,Merrili,Whitear,Female,81.0,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0
128.0,Isidro,Cypler,Male,73.0,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,12.0
129.0,Weidar,Silkstone,Male,64.0,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,19.0
130.0,Raddy,Delete,Male,32.0,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0
131.0,Jana,Renyard,Female,57.0,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,8.0
132.0,Celesta,Willavoys,Female,5.0,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,9.0
133.0,Eldridge,Fiddeman,Male,12.0,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0
134.0,Merna,McCulloch,Female,34.0,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0
135.0,Rosalia,Sigart,Female,18.0,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,3.0
136.0,Mel,Bennet,Male,46.0,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0
137.0,Vaughn,Artin,Male,27.0,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,10.0
138.0,Onofredo,Franc,Male,5.0,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0
139.0,Gar,,Male,1.0,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4.0
140.0,Morrie,Flaxon,Male,9.0,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2.0
141.0,Townsend,Trobe,Male,67.0,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10.0
142.0,Bentley,Fortesquieu,Male,57.0,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,17.0
143.0,Kendall,Figg,Male,19.0,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11.0
145.0,Filippo,Ferrara,Male,33.0,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4.0
146.0,Ricoriki,Matlock,Male,34.0,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8.0
147.0,Rea,Pattrick,Female,32.0,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10.0
149.0,Drucy,Kausche,Female,41.0,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,1.0
150.0,Bradly,Crosse,Male,6.0,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,17.0
151.0,Donnie,Brimson,Male,36.0,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0
152.0,Stephana,Cardew,Female,5.0,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,16.0
153.0,Lorilyn,Walshe,Female,73.0,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12.0
155.0,Orran,Bogges,Male,4.0,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10.0
156.0,Shayla,Rimmington,Female,23.0,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11.0
157.0,Chad,Houtby,Male,97.0,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0
159.0,Arin,Matskevich,Male,90.0,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,13.0
160.0,Wake,Durning,Male,5.0,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,18.0
162.0,Port,Acuna,Male,90.0,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,15.0
163.0,Kessia,Helder,Female,58.0,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,14.0
164.0,Aarika,Van Vuuren,Female,55.0,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,1.0
165.0,Aldon,Roelofs,Male,61.0,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0
166.0,Elston,Oleszczak,Male,54.0,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0
169.0,Alfy,Bruhnke,Male,20.0,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0
170.0,Jammal,Gever,Male,80.0,1975-06-02,Pharmacist,Health,High Net Worth,N,No,21.0
171.0,Halli,Davidoff,Female,62.0,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0
172.0,Hilton,Carney,Male,54.0,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,6.0
173.0,Ebba,Hanselmann,Female,99.0,1997-01-02,General Manager,Health,Affluent Customer,N,No,1.0
174.0,Catie,Tosspell,Female,93.0,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12.0
175.0,Templeton,Hambrook,Male,36.0,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,5.0
176.0,Angelo,Clayal,Male,39.0,1992-04-13,Accountant I,Property,Mass Customer,N,No,10.0
177.0,Ondrea,Pablos,Female,25.0,1989-11-09,Professor,Financial Services,High Net Worth,N,No,4.0
179.0,Esteban,Sewill,Male,23.0,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6.0
180.0,Trisha,Neasham,Female,16.0,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,14.0
181.0,Pavla,Braunle,Female,49.0,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,9.0
182.0,Lydon,Dahlman,Male,99.0,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7.0
183.0,Dannie,Hissie,Female,7.0,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,3.0
184.0,Nappie,Paolo,Male,40.0,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7.0
186.0,Mireielle,Jeppe,Female,46.0,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,3.0
188.0,Audry,Seine,Female,54.0,1975-06-22,Safety Technician II,Property,High Net Worth,N,Yes,13.0
189.0,Umberto,Torricella,Male,73.0,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,N,No,10.0
190.0,Hayley,Girardengo,Female,42.0,1979-02-04,Registered Nurse,Health,Affluent Customer,N,No,10.0
192.0,Goldi,Osler,Female,2.0,1978-11-19,Junior Executive,Health,Mass Customer,N,Yes,8.0
193.0,Foss,Hardes,Male,13.0,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12.0
194.0,Ursala,Ferrai,Female,4.0,1974-11-16,Web Developer III,Financial Services,Affluent Customer,N,No,10.0
195.0,Talyah,Rylatt,Female,34.0,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,6.0
196.0,Swen,Odhams,Male,90.0,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6.0
198.0,Vanya,Gumb,Female,82.0,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,16.0
199.0,Verla,Alven,Female,61.0,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,21.0
200.0,Hube,Weald,Male,7.0,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0
201.0,Salem,Huie,Male,45.0,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,11.0
202.0,Audie,Pillinger,Female,38.0,1963-06-24,Librarian,Entertainment,Affluent Customer,N,Yes,16.0
203.0,Donovan,Conry,Male,71.0,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11.0
204.0,Thorny,Hackworth,Male,56.0,1976-10-01,Editor,Financial Services,Mass Customer,N,No,5.0
205.0,Rolfe,Kellard,Male,18.0,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6.0
208.0,Rutter,Excell,Male,57.0,1994-10-31,Office Assistant III,Property,High Net Worth,N,No,5.0
210.0,Albrecht,Thomasson,Male,50.0,1963-11-18,Assistant Manager,Property,Mass Customer,N,No,18.0
211.0,Beitris,,Female,6.0,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,5.0
212.0,Nanice,Ellse,Female,21.0,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,No,1.0
213.0,Lockwood,Exroll,Male,13.0,1996-05-14,Actuary,Financial Services,High Net Worth,N,Yes,6.0
214.0,Jeramie,Cellier,Male,82.0,1957-11-29,Food Chemist,Health,Mass Customer,N,No,6.0
215.0,Debera,Foxworthy,Female,37.0,1974-06-24,Assistant Professor,Retail,High Net Worth,N,Yes,18.0
216.0,Cinderella,Parcall,Female,12.0,1995-01-12,Quality Engineer,Financial Services,High Net Worth,N,Yes,7.0
218.0,Stefa,Dunnan,Female,37.0,1993-08-06,Administrative Officer,Property,High Net Worth,N,Yes,8.0
219.0,Markus,Mughal,Male,9.0,1964-11-25,Database Administrator III,Health,Mass Customer,N,No,7.0
220.0,Jeniffer,Apark,Female,79.0,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,9.0
221.0,Mara,Bloore,Female,14.0,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,N,No,14.0
222.0,Nev,Larive,Male,89.0,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,16.0
224.0,Morgun,Girvan,Male,2.0,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,N,No,17.0
225.0,Brittaney,Pring,Female,84.0,1977-03-11,Pharmacist,Health,Affluent Customer,N,No,13.0
226.0,Bondie,Letty,Male,96.0,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,N,No,20.0
227.0,Wendall,McKeand,Male,99.0,1973-08-14,Accountant I,Entertainment,Mass Customer,N,No,18.0
228.0,Lucia,Pickervance,Female,59.0,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,N,No,12.0
230.0,Maegan,Scyone,Female,74.0,1954-06-24,Internal Auditor,Property,High Net Worth,N,No,11.0
231.0,Basile,Winsor,Male,48.0,1995-08-05,Design Engineer,Financial Services,Mass Customer,N,Yes,3.0
232.0,Zaria,Koeppke,Female,94.0,1987-11-11,Professor,Retail,Mass Customer,N,No,12.0
233.0,Art,Barwell,Male,34.0,1986-08-08,Environmental Tech,Property,Mass Customer,N,No,13.0
234.0,Mead,Alpes,Female,71.0,1969-08-12,Chief Design Engineer,Retail,High Net Worth,N,No,12.0
235.0,Leona,Phateplace,Female,30.0,1976-12-26,Social Worker,Health,Mass Customer,N,No,15.0
